Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,Short cycle diploma holders,second choice,Tourism,daytime,Professional higher technical course,110,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111.8,yes,no,no,yes,female,yes,21,no,0,6,7,6,10.5714285714286,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,second choice,Veterinary Nursing,daytime,Secondary education,149,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137.1,yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,second choice,Journalism and Communication,daytime,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,third choice,Nursing,daytime,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127.3,yes,no,no,yes,female,no,18,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,second choice,Equinculture,daytime,Secondary education,137,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136.3,yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,fourth choice,Animation and Multimedia Design,daytime,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,no,no,no,yes,female,yes,21,no,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,fifth choice,Nursing,daytime,Secondary education,142,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",125.5,yes,no,no,yes,female,no,18,no,0,8,12,7,12.8571428571429,0,0,8,12,7,12.8571428571429,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,fifth choice,Advertising and Marketing Management,daytime,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114.9,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.375,0,0,6,7,6,12.2857142857143,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,126,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,no,no,no,yes,female,no,19,no,0,7,8,6,13.2966666666667,0,0,8,9,7,14.1142857142857,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,third choice,Social Service,daytime,Secondary education,115,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,yes,no,no,yes,female,no,21,no,0,6,9,6,11.375,0,0,6,9,6,13.2857142857143,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,second choice,Management,daytime,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122.1,yes,no,no,yes,female,no,20,no,0,5,6,5,12,0,0,5,6,5,12.3333333333333,0,16.2,0.3,-0.92,Graduate
single,Change of institution/course,second choice,Communication Design,daytime,Secondary education,125,Portuguese,Professional higher technical course,Higher Education - Degree,Specialists in information and communication technologies (ICT),"Specialists in finance, accounting, administrative organization, public and commercial relations",130,yes,no,no,yes,male,no,20,no,2,6,7,6,12.8333333333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
single,3rd phase - general contingent,second choice,Social Service (evening attendance),evening,Secondary education,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,yes,no,no,yes,female,no,19,no,0,6,6,6,12.6666666666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,second choice,Management (evening attendance),evening,Secondary education,130,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.4285714285714,0,13.9,-0.3,0.79,Graduate
single,Over 23 years old,second choice,Biofuel Production Technologies,daytime,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102.5,no,no,yes,no,male,no,37,no,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,second choice,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,128.8,yes,no,no,yes,male,no,43,no,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
single,Change of course,second choice,Management,daytime,Secondary education,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.9,no,no,no,yes,female,no,55,no,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
divorced,Over 23 years old,second choice,Management (evening attendance),evening,Secondary education,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,yes,no,no,yes,female,no,39,no,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,second choice,Equinculture,daytime,Technological specialization course,120,Spanish,Higher Education - Master's,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,no,no,yes,no,female,no,20,yes,2,6,13,3,11.6666666666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,sixth choice,Journalism and Communication,daytime,Secondary education,126,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121.1,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
single,Change of course,second choice,Advertising and Marketing Management,daytime,Secondary education,130,Portuguese,Unknown,Unknown,Student,Student,114.8,no,no,no,yes,male,no,25,no,0,5,5,4,13.75,0,0,5,5,4,14.75,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,third choice,Management,daytime,Secondary education,133,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120.4,yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,seventh choice,Nursing,daytime,Secondary education,103,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.6,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.928,0,0,8,9,7,14.3428571428571,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,second choice,Journalism and Communication,daytime,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,no,no,no,no,female,no,20,no,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,second choice,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,109.7,no,no,no,yes,female,no,29,no,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,third choice,Social Service,daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.6,yes,no,no,yes,female,no,18,no,0,6,6,6,11.6666666666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,seventh choice,Nursing,daytime,Secondary education,132,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.5166666666667,0,0,8,9,7,13.7714285714286,0,11.1,0.6,2.02,Graduate
single,Technological specialization diploma holders,second choice,Social Service (evening attendance),evening,Technological specialization course,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.2857142857143,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,second choice,Social Service,daytime,Secondary education,139,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.1,no,no,no,yes,female,yes,19,no,0,6,7,5,12.3333333333333,0,0,6,7,6,12.8333333333333,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,second choice,Tourism,daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,no,no,no,yes,female,yes,24,no,0,6,6,6,13.6666666666667,0,0,6,6,6,14.1666666666667,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,fourth choice,Equinculture,daytime,Secondary education,167,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,159.3,no,no,no,yes,female,no,19,no,0,5,7,5,14.7142857142857,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,second choice,Management (evening attendance),evening,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,yes,no,no,yes,female,no,18,no,0,7,9,7,13.0444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
married,Holders of other higher courses,second choice,Tourism,daytime,Higher education - degree,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,130,no,no,no,yes,female,no,39,no,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,second choice,Equinculture,daytime,Higher education - degree (1st cycle),129,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,yes,no,no,yes,female,no,27,no,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,second choice,Nursing,daytime,Secondary education,141,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,yes,no,no,yes,female,no,18,no,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,third choice,Nursing,daytime,Secondary education,125,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.9,no,no,no,yes,female,no,18,no,0,7,8,6,13.1333333333333,0,0,8,12,7,12.2214285714286,0,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,second choice,Social Service,daytime,Technological specialization course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,131.9,no,no,no,yes,female,yes,21,no,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,Graduate
divorced,Transfer,second choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126,yes,no,no,yes,male,no,29,no,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,fourth choice,Animation and Multimedia Design,daytime,Secondary education,139,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.2,yes,no,no,yes,male,yes,19,no,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
single,Technological specialization diploma holders,second choice,Agronomy,daytime,Technological specialization course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130,yes,no,no,yes,male,no,23,no,0,6,8,6,12.5714285714286,0,0,6,7,6,12.4285714285714,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,fourth choice,Management,daytime,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,no,no,yes,yes,male,no,19,no,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,second choice,Nursing,daytime,Secondary education,150,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,130.8,no,no,no,yes,male,no,24,no,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,second choice,Animation and Multimedia Design,daytime,Secondary education,141,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,135.8,yes,no,no,yes,male,no,19,no,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,fifth choice,Tourism,daytime,Secondary education,118,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",111.7,yes,no,no,yes,male,no,18,no,0,6,12,3,11.6666666666667,0,0,6,12,1,12,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,third choice,Journalism and Communication,daytime,Secondary education,142,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,132.9,yes,no,no,yes,male,no,18,no,0,6,8,6,12.3333333333333,0,0,6,11,3,12.3333333333333,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,fourth choice,Management,daytime,Secondary education,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115.5,yes,no,yes,yes,male,no,18,no,0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,Dropout
single,3rd phase - general contingent,fifth choice,Tourism,daytime,Secondary education,106,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",106,yes,no,no,yes,male,yes,21,no,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,fifth choice,Journalism and Communication,daytime,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,yes,no,yes,yes,male,yes,19,no,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,fifth choice,Nursing,daytime,Secondary education,150,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.8,no,no,no,yes,male,yes,22,no,0,7,7,7,14.8428571428571,0,0,8,9,8,15.0555555555556,0,16.2,0.3,-0.92,Graduate
married,Over 23 years old,second choice,Social Service (evening attendance),evening,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",117,no,no,no,yes,male,no,33,no,0,6,8,6,12,0,0,6,6,6,11.6666666666667,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,seventh choice,Basic Education,daytime,Secondary education,114,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,110.2,yes,no,no,yes,male,no,20,no,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,second choice,Management (evening attendance),evening,Higher education - bachelor's degree,140,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.7,yes,no,no,yes,male,no,35,no,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,second choice,Agronomy,daytime,Higher education - master's,160,Portuguese,Higher Education - Degree,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,180.4,no,no,yes,yes,male,no,24,no,6,12,17,6,12.1666666666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
married,Over 23 years old,second choice,Social Service (evening attendance),evening,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",110,yes,no,no,yes,female,no,33,no,0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,Graduate
